ecg,ecg1,ecg3,rrIntervalList
4713.728,9114.88,7783.168,
4821.248,9250.816,7720.448,
4754.944,9129.728,7739.648,
4640.256,8990.208,7791.872,
4703.488,9109.76,7764.224,
4808.192,9247.232,7704.576,
4741.376,9123.584,7732.736,
4640.256,8994.56,7783.424,
4689.664,9113.344,7763.712,
4788.992,9245.44,7704.832,
4734.72,9129.728,7731.712,
4640,9000.704,7787.52,
4691.2,9109.504,7772.16,
4782.848,9230.336,7721.984,
4715.52,9108.736,7735.808,
4614.4,8987.904,7782.4,
4669.952,9106.432,7763.2,
4762.88,9227.264,7725.568,
4697.088,9101.056,7752.192,
4601.088,8976.896,7807.488,
4664.32,9100.288,7783.68,
4756.992,9222.912,7729.664,
4698.112,9107.456,7752.448,
4609.792,8991.232,7798.784,
4671.488,9108.992,7778.304,
4766.976,9232.64,7734.784,
4701.696,9109.248,7770.624,
4606.976,8992.512,7804.672,
4657.408,9105.408,7785.472,
4756.736,9228.8,7732.224,
4692.224,9106.688,7753.728,
4588.544,8978.944,7809.792,
4658.176,9112.576,7782.4,
4748.288,9228.288,7738.112,
4678.4,9099.008,7762.432,
4595.968,8994.304,7806.208,
4667.136,9127.936,7774.976,
4769.28,9251.328,7725.824,
4711.936,9133.312,7739.136,
4615.168,9012.48,7792.128,
4676.096,9133.056,7767.808,
4764.16,9248.256,7718.4,
4692.224,9118.464,7748.864,
4611.584,9009.152,7793.92,
4683.776,9145.6,7766.784,
4783.616,9276.16,7706.112,
4722.944,9170.432,7723.52,
4625.92,9073.408,7760.128,
4688.128,9221.632,7719.424,
4774.912,9353.984,7667.712,
4700.672,9225.216,7693.568,
4617.216,9114.624,7727.616,
4702.72,9262.848,7698.432,
4815.36,9379.84,7666.432,
4750.848,9223.424,7707.392,
4675.072,9090.048,7762.688,
4765.184,9211.136,7735.04,
4860.16,9308.416,7692.544,
4791.04,9159.424,7745.024,
4701.44,9032.704,7819.264,
4760.832,9161.472,7791.616,
4814.848,9266.176,7728.896,
4701.952,9108.736,7753.472,
4588.8,8975.104,7808.768,
4650.24,9102.336,7785.216,
4742.912,9218.56,7740.928,
4670.208,9081.6,7772.16,
4580.608,8963.84,7840,
4658.944,9101.056,7820.032,
4747.008,9214.72,7771.904,
4662.272,9070.592,7811.328,
4566.784,8956.672,7847.68,
4633.6,9094.4,7803.648,
4720.896,9207.04,7769.6,
4646.912,9071.616,7807.488,
4566.016,8965.888,7845.12,
4637.952,9102.592,7811.84,
4727.808,9220.864,7758.592,
4658.176,9090.048,7775.488,
4587.008,9011.712,7813.632,
4738.048,9224.704,7756.032,
4966.4,9434.88,7668.736,
4981.504,9424.384,7644.672,
4877.312,9479.424,7757.568,
5070.336,9828.352,8104.448,
5367.552,9973.248,8405.76,
5120.512,9556.992,8100.864,
4654.336,9131.264,7499.776,
4674.304,9115.136,7497.728,
4843.52,9226.24,7677.952,
4791.808,9146.624,7752.192,
4711.168,9098.496,7759.104,
4785.152,9248.768,7692.544,
4880.896,9350.4,7629.824,
4805.12,9202.176,7660.288,
4705.536,9084.16,7719.936,
4775.168,9214.208,7704.576,
4861.44,9315.84,7678.464,
4784.384,9173.76,7722.24,
4698.112,9066.24,7778.56,
4785.92,9209.6,7738.112,
4879.872,9315.072,7695.616,
4806.4,9174.528,7741.184,
4733.44,9078.272,7792.384,
4814.08,9219.072,7755.264,
4904.704,9327.36,7702.528,
4835.584,9193.728,7735.808,
4757.504,9090.816,7774.72,
4845.824,9237.76,7738.624,
4943.36,9346.048,7697.408,
4871.936,9211.136,7729.664,
4794.112,9116.416,7762.688,
4878.08,9257.216,7735.04,
4967.424,9358.336,7696.384,
4899.584,9215.232,7735.296,
4831.488,9120.256,7789.056,
4922.368,9266.432,7763.712,
5022.976,9373.696,7716.864,
4960,9233.152,7750.4,
4887.04,9132.032,7802.368,
4974.336,9273.088,7772.928,
5078.784,9378.304,7734.784,
5022.72,9235.712,7778.304,
4966.144,9145.856,7822.848,
5071.36,9297.408,7776,
5179.136,9398.784,7711.232,
5127.68,9261.568,7748.864,
5075.2,9168.384,7815.936,
5189.12,9316.096,7788.032,
5307.648,9420.544,7749.12,
5251.072,9277.696,7795.2,
5197.312,9181.44,7850.496,
5317.888,9335.552,7818.752,
5440,9448.448,7781.376,
5382.912,9310.208,7819.52,
5322.496,9220.864,7858.944,
5420.288,9379.328,7809.536,
5495.296,9476.864,7758.08,
5387.776,9326.592,7787.52,
5279.744,9235.2,7812.864,
5327.36,9384.448,7745.536,
5361.152,9472,7664.128,
5206.784,9302.528,7672.064,
5052.416,9193.216,7696.384,
5067.008,9321.984,7649.024,
5081.344,9392.64,7598.848,
4938.496,9230.08,7632.896,
4809.216,9129.216,7671.552,
4857.088,9269.248,7636.48,
4901.888,9347.584,7607.552,
4783.36,9179.904,7662.592,
4687.104,9081.6,7712,
4756.736,9224.192,7687.936,
4823.296,9307.392,7664.896,
4717.824,9141.248,7729.92,
4630.784,9045.504,7783.936,
4717.056,9203.712,7745.28,
4807.168,9303.04,7695.616,
4721.152,9156.352,7731.456,
