ecg,ecg2,ecg3,rrIntervalList
9725.44,8577.024,2956.032
9721.344,8626.944,2902.272
9711.616,8585.984,2932.224
9696.512,8519.424,2976.512
9653.76,8544.512,2962.432
9615.616,8551.936,2923.264
9599.488,8490.24,2952.448
9675.264,8478.72,2947.584
9702.656,8585.216,2924.8
9676.032,8645.888,2928.64
9687.552,8524.288,2968.832
9704.192,8619.008,2948.608
9666.048,8653.568,2937.344
9681.408,8571.136,2919.936
9748.224,8516.608,2866.432
9752.32,8601.088,2837.504
9700.352,8637.44,2841.088
9686.272,8544.512,2837.504
9721.088,8441.6,2775.296
9728.0,8486.144,2727.68
9708.032,8519.68,2699.776
9711.36,8466.688,2720.512
9714.432,8435.456,2765.056
9689.344,8510.208,2779.648
9649.92,8546.304,2776.064
9634.304,8481.024,2811.392
9663.744,8419.84,2806.784
9664.512,8484.864,2778.88
9638.656,8497.92,2712.064
9616.128,8417.024,2735.616
9612.032,8341.76,2755.84
9618.688,8427.776,2726.4
9606.656,8484.352,2709.76
9641.984,8451.84,2726.4
9707.008,8430.336,2720.768
9687.808,8482.816,2692.352
9642.752,8522.24,2682.368
9656.832,8472.576,2705.664
9627.648,8361.728,2703.616
9606.144,8429.056,2708.992
9598.464,8580.608,2793.216
9639.68,8631.552,2902.784
9715.456,8588.8,2876.672
9816.832,8636.16,2708.224
10063.36,8854.784,2505.472
10416.384,9272.064,2417.152
10680.064,9774.08,2376.704
10749.696,10195.968,2270.976
10526.976,10184.192,2197.76
10212.352,9557.248,2124.544
9950.72,8842.752,2108.928
9812.224,8572.416,2182.912
9821.184,8565.248,2271.488
9814.272,8545.536,2430.976
9791.488,8557.312,2566.144
9795.584,8665.088,2588.16
9767.168,8699.392,2579.2
9690.88,8587.264,2635.264
9682.432,8501.76,2642.688
9709.824,8554.752,2586.88
9686.016,8580.096,2550.784
9704.192,8552.448,2594.048
9736.192,8522.496,2616.32
9734.912,8579.84,2571.776
9719.296,8615.68,2538.24
9736.704,8569.088,2548.992
9756.416,8506.88,2560.0
9741.312,8568.832,2553.344
9732.096,8611.84,2510.336
9761.024,8571.904,2519.04
9761.024,8509.696,2535.936
9746.688,8565.248,2503.68
9761.792,8636.672,2472.704
9786.88,8603.136,2489.088
9825.28,8555.52,2472.704
9818.624,8613.12,2435.584
9793.536,8648.96,2414.592
9772.288,8582.4,2455.552
9803.776,8523.008,2442.24
9865.216,8634.88,2385.152
9901.312,8736.256,2350.848
9913.856,8685.056,2356.224
9947.392,8625.92,2337.024
9974.016,8724.48,2314.496
9973.76,8785.92,2287.616
9970.176,8722.944,2295.296
10013.184,8670.72,2266.88
10091.264,8787.456,2193.408
10100.224,8865.792,2169.088
10057.216,8777.216,2205.44
10059.52,8703.232,2209.792
10080.512,8771.84,2162.432
10062.08,8803.328,2116.864
10053.12,8748.032,2151.168
10046.208,8676.608,2183.936
10010.368,8719.104,2193.408
9984.768,8752.896,2170.368
9941.76,8674.816,2228.224
9931.52,8594.432,2257.408
9904.896,8640.256,2218.496
9849.6,8647.68,2196.224
9850.88,8589.312,2246.656
9876.736,8535.296,2265.088
9864.96,8591.872,2236.416
9799.68,8582.4,2183.936
9774.08,8482.56,2196.48
9783.552,8412.16,2208.768
9777.408,8461.056,2181.632
9742.336,8492.544,2171.904
9756.416,8459.52,2203.392
9772.288,8392.192,2201.344
9748.224,8431.36,2174.464
9737.728,8490.496,2159.104
9742.336,8442.112,2184.192
9758.464,8380.928,2193.152
9773.312,8439.04,2125.056
9774.08,8498.432,2095.872
9777.152,8453.12,2137.088
9798.144,8458.496,2110.208
9786.112,8509.696,2084.096
9801.984,8479.488,2110.976
9843.968,8448.0,2121.728
9832.448,8500.992,2094.08
9778.688,8514.56,2067.712
9755.392,8448.512,2102.784
9736.704,8363.776,2115.584
9721.088,8405.248,2074.88
9729.792,8480.768,2058.496
9757.696,8450.816,2083.584
9796.352,8403.968,2074.624
9788.416,8458.496,2036.48
9762.56,8498.688,2015.744
9753.856,8442.624,2049.024
9783.808,8388.608,2041.6
9795.072,8457.216,2002.432
9781.248,8520.448,1990.912
9801.472,8474.624,2011.904
9795.328,8367.616,1993.984
9774.848,8390.144,1927.168
9768.448,8473.344,1940.224
9788.416,8365.312,1972.224
9759.232,8392.96,1949.44
9758.208,8449.536,1922.048
9796.352,8421.632,1927.936
9813.248,8363.264,1936.384
9793.28,8410.368,1916.672
9746.432,8421.12,1884.16
9752.064,8359.424,1889.024
9823.232,8344.064,1886.72
9894.4,8488.448,1855.488
9885.696,8555.264,1841.152
9814.016,8457.216,1910.528
9782.784,8370.432,1933.568
9775.36,8425.984,1901.568
9787.136,8482.304,1863.424
9854.72,8459.52,1839.104
9933.056,8437.504,1804.8
9885.952,8465.92,1768.704
9807.36,8458.24,1751.04
9808.64,8359.424,1734.912
9872.384,8311.296,1715.968
9907.712,8388.608,1662.464
9878.528,8429.056,1626.368
9842.432,8357.888,1691.392
9828.352,8293.376,1745.92
9796.864,8338.944,1732.608
9770.24,8388.352,1716.224
9812.48,8367.104,1710.592
9816.32,8282.368,1700.864
9775.616,8294.4,1667.328
9735.936,8320.768,1648.896
9731.072,8280.832,1697.792
